name,location,start_date,end_date,surface,indoor_outdoor,winner,results_url,source,source_page
Ano II Brasil Tennis Open,"Porto Alegre, Brazil",28 April,"May 4, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/porto-alegre/2919/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Open Aix Provence Crédit Agricole,"Aix-en-Provence, France",29 April,"May 4, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/aix-en-provence/7009/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Wuxi Open,"Wuxi, China",5,"May 11, 2025",Hard,Outdoor,,https://www.atptour.com/en/scores/archive/wuxi/2921/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Abruzzo Open Francavilla Al Mare,"Francavilla al Mare, Italy",5,"May 11, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/francavilla-al-mare/7707/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Advantage Cars Prague Open,"Prague, Czechia",5,"May 11, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/prague/600/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Santos Brasil Tennis Cup,"Santos, Brazil",5,"May 11, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/santos/2923/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
OEIRAS 5 CHALLENGER,"Oeiras , Portugal",12,"May 17, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/oeiras/2871/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
KIA Tunis Open,"Tunis, Tunisia",12,"May 17, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/tunis/1541/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Zagreb Open,"Zagreb, Croatia",12,"May 17, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/zagreb/9500/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
KIA Open,"Bogota, Colombia",12,"May 17, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bogota/7389/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
BNP Paribas Primrose Bordeaux,"Bordeaux, France",13,"May 18, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/bordeaux/3824/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Piemonte Open Intesa Sanpaolo,"Turin, Italy",13,"May 18, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/turin/2863/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
Macedonian Open,"Skopje, North Macedonia",19,"May 24, 2025",Clay,Outdoor,,https://www.atptour.com/en/scores/archive/skopje/2869/2025/draws,ATP Challenger,https://www.atptour.com/en/-/tournaments/calendar/challenger
